office_number,office_direction,municipality_name,province_name,postal_code,geo_extraction
2573.0,"Gran Avenida - Av. De Andalucia, 8",Linares,Jaén,23700,"['Av. de Andalucía, 8, 23700 Linares, Jaén, Spain', 38.0930209, -3.6389704, 'ChIJGQgcPzKbbg0RzIRPGGdsJ6o']"
3356.0,"Maestra, 134",Mancha-real,Jaén,23100,
3354.0,"Pz. De Amparo, 7",Marmolejo,Jaén,23770,
3352.0,"Carrera - Carrera, 19",Martos,Jaén,23600,
7727.0,"Paseo De La Estacion, 10",Torredelcampo,Jaén,23640,
2566.0,"Gines Perea, 7",Torredonjimeno,Jaén,23650,"['Calle Ginés de Perea, 7, 23650 Torredonjimeno, Jaén, Spain', 37.7660498, -3.9559952, 'ChIJfapMcw3PbQ0RHu75uak_Vyc']"
7325.0,"Av.libertad - Av. Libertad, 1",Ubeda,Jaén,23400,
3349.0,"Pl. Andalucia - Pl. De Andalucia, 3",Ubeda,Jaén,23400,"['Plaza Andalucía, 3, 23400 Úbeda, Jaén, Spain', 38.0109488, -3.3715065, 'ChIJw7SLn3n0bg0RcU-xHZqrlKc']"
2559.0,"Quevedo, 6",Villacarrillo,Jaén,23300,
4284.0,"Jovellanos, S/n - Esq. San Pablo",Alhaurin-de-la-torre,Málaga,29130,"['Calle Jovellanos, S/N - Esq. San Pablo, 29130 Alhaurín de la Torre, Málaga, Spain', 36.6606385, -4.5595286, 'ChIJpYimUNL6cg0RbAdALGESPOg']"
7881.0,"Av. Gerard Brenan, S/n",Alhaurin-el-grande,Málaga,29120,
3365.0,"Infante Don Fernando, 54",Antequera,Málaga,29200,"['Calle Infante Don Fernando, 54, 29200 Antequera, Málaga, Spain', 37.0185559, -4.5617374, 'ChIJVVfQPOCPcg0RXGGr1pO801E']"
4785.0,"Arroyo De La Miel - Av. Federico Garcia Lorca, 3",Arroyo-de-la-miel-benal-costa,Málaga,29631,"['Av. Federico García Lorca, 3, 29631 Benalmádena, Málaga, Spain', 36.5980271, -4.5312367, 'ChIJuQE9eoz8cg0R49Pxo4diH54']"
486.0,"Antonio Machado - Av. Antonio Machado, 40 Benalm.costa",Benalmadena,Málaga,29630,
6675.0,"Estacion - Maria Zambrano, 1 Local 2",Cartama,Málaga,29580,
2075.0,"Pz. De La Villa, Local 1 - 2",Coin,Málaga,29100,
6727.0,"Juan Carlos I - Juan Carlos I, S/n Urb. Capricho",Estepona,Málaga,29680,"['Calle Juan Carlos I, S/N Urb. Capricho, 29680 Estepona, Málaga, Spain', 36.4255873, -5.1535448, 'ChIJTfcV_qXWDA0R1U-OaVXOaCg']"
2585.0,Avda España 13 - Avda. España 13,Estepona,Málaga,29680,"['Av. España, 13, 29680 Estepona, Málaga, Spain', 36.424902, -5.1445281, 'ChIJv5oepafWDA0Rv5V36jyT6YA']"
492.0,"Pl. Constitucion - Pl. Constitucion, 10",Fuengirola,Málaga,29640,
7115.0,"La Union - La Union, 28",Fuengirola,Málaga,29640,"['3600 Nelson Rd, Lake Charles, LA 70605, USA', 30.192076, -93.249883, 'ChIJHb4BvBmGO4YRNxgXHOD27-0']"
2752.0,"Los Boliches - Avda J. Cautivo 32, Esq C/ Taxis",Fuengirola,Málaga,29640,
2735.0,"Alfonso Xiii - Alfonso Xiii, 6 Edif.s.fernando",Fuengirola,Málaga,29640,
3370.0,"Alameda De Colon - Alameda De Colon, 2 - 4",Malaga,Málaga,29001,"['Calle, Alameda Colón, 2, 4, 29001 Málaga, Spain', 36.7163168, -4.4252145, 'ChIJb7tDTJT3cg0R5LWAdPtLhCY']"
4101.0,"Cuarteles - Cuarteles, 43",Malaga,Málaga,29002,
3422.0,"Huelin - Tomas De Echeverria, 1",Malaga,Málaga,29002,"['Calle Tomás Echeverría, 1, 29002 Málaga, Spain', 36.7049957, -4.4361805, 'ChIJDdxoKoL3cg0RYGExiNrsG8U']"
3089.0,"Av. La Paloma - Av. De La Paloma, 35",Malaga,Málaga,29003,"['Av. de la Paloma, 35, 29003 Málaga, Spain', 36.70153579999999, -4.444296, 'ChIJkZsU0X33cg0Rfevzelk3uhI']"
3413.0,"Las Piramides - Av. Del Pato, S/n Edif. Menfis",Malaga,Málaga,29004,
2116.0,"Los Girasoles - Av. Velazquez, 74",Malaga,Málaga,29004,
4100.0,"Larios, 12 - Marques De Larios, 12 - 14",Malaga,Málaga,29005,
2341.0,"Marques De Larios, 12 - 14",Malaga,Málaga,29005,"['Calle Marqués de Larios, 12, 14, 29005 Málaga, Spain', 36.7185732, -4.4215721, 'ChIJ91ZCTJT3cg0RS9rlzaGH5Tc']"
4106.0,"Ortega Y Gasset - Av. Jose Ortega Y Gasset, 43",Malaga,Málaga,29006,"['Av. de José Ortega y Gasset, 43, 29006 Málaga, Spain', 36.7109734, -4.4467142, 'ChIJS9niYHD3cg0RLyy-LTh9SfU']"
3418.0,"Los Tilos - Ps. De Los Tilos, 51",Malaga,Málaga,29006,"['Paseo de los Tilos, 51, 29006 Málaga, Spain', 36.712934, -4.4375994, 'ChIJhwnZn533cg0RPETsqTcNKjo']"
483.0,"Av.andalucia - Av. De Andalucia, 16",Malaga,Málaga,29007,"['Av. de Andalucía, 16, 29007 Málaga, Spain', 36.7174051, -4.432386999999999, 'ChIJyYMjPpn3cg0RDf_g8WXeREQ']"
4102.0,"Marmoles - Marmoles, 39",Malaga,Málaga,29007,
3394.0,"Mendez Nuñez - Mendez Nuñez, 2",Malaga,Málaga,29008,"['111 Essex St, Hackensack, NJ 07601, USA', 40.877952, -74.049849, 'ChIJkTFkdvT5wokRr4bVyhs0uKo']"
4275.0,"Hospital Civil - Sevilla, 31",Malaga,Málaga,29009,
468.0,"Doctor Escasi - Doctor Escassi, S/n",Malaga,Málaga,29010,"['Calle Dr. Escassi, S/N, 29010 Málaga, Spain', 36.7221352, -4.4397996, 'ChIJM1mcFQn3cg0RQrUUHisZHTA']"
3427.0,"Carlos Haya - Av. Carlos Haya, 74",Malaga,Málaga,29010,"['Av. de Carlos Haya, 74, 29010 Málaga, Spain', 36.722692, -4.447837, 'ChIJjde7GJ73cg0RuX1UUiY1QPI']"
5876.0,"Teatinos - Frank Capra, 6 - L.2 Ronda Teatinos",Malaga,Málaga,29010,"['Calle Frank Capra, 6, L. 2, 29010 Ronda, Málaga, Spain', 36.719123, -4.4600792, 'ChIJxZZqQT73cg0RXhnerzCgh6I']"
4272.0,"El Romeral - Antigona, S/n (bda. El Romeral)",Malaga,Málaga,29010,
4108.0,"Suarez - Martinez De La Rosa, 167",Malaga,Málaga,29010,
